Genome_ID,Best_Hit_ARO,Contig,Start,Stop,Plasmid,Location_Type,Resistance Phenotype Gentamicin
573.66358,Klebsiella pneumoniae KpnE,573.66358_23,21299,21661,IncFIB(K),Plasmid,1
573.66358,AAC(3)-IIe,573.66358_1,44,904,IncN,Plasmid,1
573.66358,FosA3,573.66358_1,323,739,IncN,Plasmid,1
573.66358,CTX-M-55,573.66358_1,22,897,IncN,Plasmid,1
573.66358,rmtB,573.66358_1,63,818,IncN,Plasmid,1
573.66358,TEM-239,573.66358_1,1,741,IncN,Plasmid,1
573.66012,ArnT,573.66012_21,19586,21241,IncFIB(K),Plasmid,0
573.66012,dfrA14,573.66012_3,1652,2125,IncFII(K),Plasmid,0
573.66012,AAC(6')-Ib10,573.66012_1,2,646,IncN,Plasmid,0
72407.242,Mrx,72407.242_9,5396,6634,IncR,Plasmid,1
573.66381,AAC(6')-Ib10,573.66381_3,1541,2185,IncFII(K),Plasmid,0
573.66378,tet(D),573.66378_2,701,1885,IncFIA(HI1),Plasmid,0
573.66378,AAC(6')-Ib10,573.66378_1,107,706,IncFIA(HI1),Plasmid,0
573.66378,arr-3,573.66378_2,803,1255,IncFIA(HI1),Plasmid,0
574.115,adeF,574.115_1,2,3052,IncFIB(pQil),Plasmid,0
573.66313,emrR,573.66313_87,84688,85218,IncFII(K),Plasmid,1
573.66313,AAC(6')-Ib10,573.66313_3,1541,2185,Col440I,Plasmid,1
573.66426,QnrS1,573.66426_3,1028,1684,Col440I,Plasmid,0
573.66426,rmtB,573.66426_2,646,1401,Col440II,Plasmid,0
573.66531,QnrS1,573.66531_27,22615,23271,IncN,Plasmid,1
573.66531,TEM-1,573.66531_1,35,895,IncFIA(HI1),Plasmid,1
573.66531,catA1,573.66531_2,224,883,IncFIA(HI1),Plasmid,1
573.66531,Mrx,573.66531_2,1023,2261,IncFIA(HI1),Plasmid,1
72407.249,rsmA,72407.249_1,474,659,IncN,Plasmid,0
72407.249,APH(4)-Ia,72407.249_3,1195,2220,IncR,Plasmid,0
72407.249,mphA,72407.249_2,508,1413,IncN,Plasmid,0
72407.249,qacEdelta1,72407.249_11,7557,7904,IncFIB(K),Plasmid,0
72407.249,AAC(6')-Ib10,72407.249_3,427,1032,IncN,Plasmid,0
573.66411,floR,573.66411_3,2437,3651,IncN,Plasmid,1
573.66411,AAC(3)-IId,573.66411_4,2631,3491,IncN,Plasmid,1
573.66215,aadA22,573.66215_1,3,917,IncL/M(pMU407),Plasmid,1
573.66262,APH(6)-Id,573.66262_2,574,1410,ColpVC,Plasmid,1
573.66262,sul2,573.66262_4,2274,3089,IncFII,Plasmid,1
573.66262,AAC(6')-Ib10,573.66262_1,2,646,ColpVC,Plasmid,1
573.66262,CTX-M-15,573.66262_1,22,897,IncN,Plasmid,1
573.66262,rmtB,573.66262_1,63,818,IncN,Plasmid,1
573.66262,TEM-239,573.66262_1,24,764,IncN,Plasmid,1
573.66435,aadA16,573.66435_1,1,834,IncL/M(pMU407),Plasmid,1
573.66435,QnrB6,573.66435_6,5553,6233,IncN,Plasmid,1
573.66435,KPC-2,573.66435_5,5340,6221,IncN,Plasmid,1
573.66435,aadA22,573.66435_1,3,917,IncL/M(pMU407),Plasmid,1
573.66435,AAC(6')-Ib10,573.66435_1,1,588,IncL/M(pMU407),Plasmid,1
573.65973,OmpA,573.65973_8,7834,8904,IncFIB(K),Plasmid,1
72407.2244,PmrF,72407.2244_53,56639,57622,IncFII,Plasmid,1
72407.2244,QnrS1,72407.2244_5,3891,4547,IncFIB(K),Plasmid,1
573.66317,dfrA27,573.66317_1,74,547,IncN,Plasmid,1
573.66317,arr-3,573.66317_2,680,1132,IncN,Plasmid,1
573.66317,AAC(6')-Ib10,573.66317_1,3,521,IncN,Plasmid,1
72407.2382,tet(D),72407.2382_2,701,1885,IncHI1B,Plasmid,0
72407.2382,mphA,72407.2382_1,70,975,IncHI1B,Plasmid,0
72407.2382,Mrx,72407.2382_2,972,2210,IncHI1B,Plasmid,0
72407.2382,OXA-1,72407.2382_1,69,899,IncHI1B,Plasmid,0
72407.2382,catB3,72407.2382_2,1037,1669,IncHI1B,Plasmid,0
72407.2382,APH(3')-Ia,72407.2382_1,88,903,IncHI1B,Plasmid,0
72407.2382,sul1,72407.2382_1,25,864,IncHI1B,Plasmid,0
72407.2382,aadA16,72407.2382_1,1,834,IncHI1B,Plasmid,0
72407.2334,floR,72407.2334_7,3143,4357,IncFII(K),Plasmid,1
573.66392,qacEdelta1,573.66392_4,1784,2131,IncFIA(HI1),Plasmid,1
573.66392,arr-3,573.66392_7,3880,4332,IncFIB(K),Plasmid,1
573.66392,APH(3'')-Ib,573.66392_3,1287,2090,IncFIA(HI1),Plasmid,1
573.66392,APH(6)-Id,573.66392_4,2090,2926,IncFIA(HI1),Plasmid,1
72407.2371,CTX-M-15,72407.2371_1,49,924,IncQ1,Plasmid,0
72407.2371,QnrB6,72407.2371_2,157,837,IncQ1,Plasmid,0
72407.2371,AAC(6')-Ib10,72407.2371_1,1,588,IncQ1,Plasmid,0
72407.2371,sul1,72407.2371_1,25,864,IncQ1,Plasmid,0
72407.2371,aadA16,72407.2371_1,8,841,IncQ1,Plasmid,0
72407.264,APH(6)-Id,72407.264_4,2142,2978,IncHI1B,Plasmid,0
72407.264,TEM-1,72407.264_6,3699,4559,IncFIB(K),Plasmid,0
72407.264,SHV-12,72407.264_1,74,934,FII(pBK30683),Plasmid,0
72407.264,catA1,72407.264_3,992,1651,IncFIB(Mar),Plasmid,0
72407.264,aadA,72407.264_3,1159,1848,IncFIB(Mar),Plasmid,0
573.66316,CTX-M-15,573.66316_1,140,1015,Col440I,Plasmid,0
72407.236,eptB,72407.236_3,2095,3768,ColpVC,Plasmid,0
72407.236,SHV-12,72407.236_1,74,934,ColpVC,Plasmid,0
574.112,CTX-M-15,574.112_3,2638,3513,IncFII(K),Plasmid,0
574.112,sul1,574.112_4,2725,3564,IncFII(K),Plasmid,0
574.112,qacEdelta1,574.112_5,3558,3905,IncFII(K),Plasmid,0
573.66327,eptB,573.66327_2,2043,3716,IncN,Plasmid,0
573.66327,KPC-2,573.66327_2,989,1870,IncN,Plasmid,0
573.66327,QnrB6,573.66327_3,3387,4067,IncFIB(K),Plasmid,0
72407.2618,sul2,72407.2618_3,1290,2105,IncFIA(HI1),Plasmid,0
72407.2618,APH(3'')-Ib,72407.2618_4,2166,2969,IncFIA(HI1),Plasmid,0
573.66036,sul2,573.66036_1,347,1162,IncFIA(HI1),Plasmid,1
573.66036,aadA16,573.66036_1,79,924,IncFIA(HI1),Plasmid,1
573.66036,dfrA27,573.66036_2,1105,1578,IncFIA(HI1),Plasmid,1
573.66036,TEM-1,573.66036_1,77,937,IncFIA(HI1),Plasmid,1
573.66036,QnrB6,573.66036_2,194,838,IncFIA(HI1),Plasmid,1
573.66036,sul1,573.66036_1,25,864,IncFIA(HI1),Plasmid,1
573.66036,qacEdelta1,573.66036_2,858,1205,IncFIA(HI1),Plasmid,1
72407.2173,qacEdelta1,72407.2173_1,2,355,IncQ1,Plasmid,1
72407.2173,sul1,72407.2173_2,349,1188,IncQ1,Plasmid,1
72407.2173,AAC(6')-Ib10,72407.2173_1,1,588,IncQ1,Plasmid,1
72407.2173,QnrS1,72407.2173_1,250,906,IncQ1,Plasmid,1
72407.2173,AAC(3)-IId,72407.2173_2,306,1166,IncQ1,Plasmid,1
72407.2173,APH(3')-Ia,72407.2173_1,88,903,IncQ1,Plasmid,1
72407.2173,aadA16,72407.2173_1,8,841,IncQ1,Plasmid,1
573.66347,KPC-2,573.66347_1,151,1032,IncFIA(HI1),Plasmid,1
573.66347,TEM-1,573.66347_1,35,895,IncFIA(HI1),Plasmid,1
573.66347,catA1,573.66347_2,224,883,IncFIA(HI1),Plasmid,1
573.66347,mphA,573.66347_1,69,974,IncFIA(HI1),Plasmid,1
573.66347,Mrx,573.66347_2,971,2209,IncFIA(HI1),Plasmid,1
573.66347,aadA16,573.66347_1,1,834,IncFIA(HI1),Plasmid,1
573.66347,qacEdelta1,573.66347_2,951,1298,IncN,Plasmid,1
573.66347,sul1,573.66347_3,1292,2131,IncN,Plasmid,1
573.66347,AAC(3)-IId,573.66347_2,702,1562,IncN,Plasmid,1
573.66347,arr-3,573.66347_2,736,1188,IncN,Plasmid,1
573.66347,AAC(6')-Ib10,573.66347_3,1285,1872,IncN,Plasmid,1
573.66523,LAP-2,573.66523_8,5692,6549,IncR,Plasmid,1
574.78,APH(6)-Id,574.78_2,2619,3455,IncL/M(pMU407),Plasmid,0
573.66407,adeF,573.66407_2,979,4089,IncN,Plasmid,0
573.66407,QnrB6,573.66407_2,157,837,IncFIA(HI1),Plasmid,0
573.66407,qacEdelta1,573.66407_1,39,386,Col440I,Plasmid,0
573.66407,sul1,573.66407_2,380,1219,IncN,Plasmid,0
573.66311,emrR,573.66311_87,84688,85218,IncFII(K),Plasmid,1
72407.2204,dfrA14,72407.2204_1,184,657,Col440II,Plasmid,0
72407.2309,adeF,72407.2309_2,849,3959,IncQ1,Plasmid,0
573.66446,AAC(6')-Ib10,573.66446_1,3,587,Col440II,Plasmid,1
72407.2637,Klebsiella pneumoniae KpnF,72407.2637_12,11646,11975,IncR,Plasmid,0
72407.2637,Klebsiella pneumoniae KpnE,72407.2637_13,11962,12324,IncR,Plasmid,0
72407.2637,QnrS1,72407.2637_3,1099,1755,IncFII(K),Plasmid,0
72407.2637,arr-3,72407.2637_2,685,1137,IncFII(K),Plasmid,0
72407.2637,dfrA27,72407.2637_3,1270,1743,Col(BS512),Plasmid,0
72407.2637,qacEdelta1,72407.2637_2,858,1205,Col(BS512),Plasmid,0
72407.2637,dfrA1,72407.2637_2,593,1066,IncFII(K),Plasmid,0
573.66491,OXA-181,573.66491_3,4063,4860,IncX3,Plasmid,0
573.66073,Klebsiella pneumoniae KpnE,573.66073_19,22001,22363,IncFII,Plasmid,0
573.66073,Shigella flexneri acrA,573.66073_21,22159,23352,IncFII,Plasmid,0
573.66073,qacEdelta1,573.66073_32,21808,22155,IncFII,Plasmid,0
573.66073,sul1,573.66073_33,22149,22988,IncFII,Plasmid,0
72407.2746,dfrA1,72407.2746_6,4608,5081,IncFIB(K),Plasmid,0
573.66571,QnrB1,573.66571_21,21147,21791,IncHI2A,Plasmid,1
573.66571,APH(6)-Id,573.66571_5,2696,3532,IncFIB(K),Plasmid,1
573.66571,sul2,573.66571_7,4396,5211,IncFIB(pQil),Plasmid,1
573.66571,AAC(3)-IIe,573.66571_4,1699,2559,IncFIB(K),Plasmid,1
573.66571,dfrA14,573.66571_2,446,934,IncFII(K),Plasmid,1
72407.2184,adeF,72407.2184_2,1161,4271,IncFIB(K),Plasmid,1
72407.2641,sul2,72407.2641_9,8382,9197,IncFIB(K),Plasmid,1
72407.2641,QnrB4,72407.2641_1,47,694,IncFII(K),Plasmid,1
72407.2641,TEM-1,72407.2641_2,609,1469,IncFII(K),Plasmid,1
573.66298,adeF,573.66298_2,1157,4267,IncFIB(K),Plasmid,1
573.66298,sul2,573.66298_2,423,1238,Col(BS512),Plasmid,1
573.66298,APH(3'')-Ib,573.66298_3,1299,2102,Col(BS512),Plasmid,1
573.66298,TEM-1,573.66298_6,3659,4519,IncFIB(K),Plasmid,1
573.66298,tet(D),573.66298_2,701,1885,IncFIA(HI1),Plasmid,1
573.66298,qacEdelta1,573.66298_2,951,1298,Col(BS512),Plasmid,1
573.66298,sul1,573.66298_3,1292,2131,Col(BS512),Plasmid,1
573.66298,AAC(3)-IId,573.66298_2,699,1559,IncFIA(HI1),Plasmid,1
573.66298,dfrA27,573.66298_1,70,543,IncFIA(HI1),Plasmid,1
573.66298,arr-3,573.66298_2,676,1128,Col(BS512),Plasmid,1
573.66298,AAC(6')-Ib10,573.66298_3,1225,1812,Col(BS512),Plasmid,1
72407.2858,aadA,72407.2858_8,5971,6786,ColRNAI,Plasmid,0
72407.2593,adeF,72407.2593_2,1160,4270,IncFIB(K),Plasmid,0
72407.2402,eptB,72407.2402_2,1875,3548,IncR,Plasmid,0
573.66265,dfrA12,573.66265_1,2,502,IncN,Plasmid,0
573.66299,adeF,573.66299_2,980,4090,IncFIB(K),Plasmid,0
573.66299,KPC-2,573.66299_4,4182,5063,IncFIB(K),Plasmid,0
573.66299,aadA16,573.66299_1,79,924,IncFIA(HI1),Plasmid,0
573.66299,dfrA27,573.66299_2,1105,1638,IncFIA(HI1),Plasmid,0
573.66299,QnrB6,573.66299_3,3398,4078,IncFIB(K),Plasmid,0
573.66299,tet(D),573.66299_2,699,1883,IncFII(K),Plasmid,0
573.66552,tet(A),573.66552_3,1685,2884,IncFII(K),Plasmid,0
573.66427,QnrB6,573.66427_2,157,837,IncN,Plasmid,0
573.66427,arr-3,573.66427_2,685,1137,IncN,Plasmid,0
573.66427,dfrA27,573.66427_3,1270,1743,IncN,Plasmid,0
573.66427,sul1,573.66427_1,25,864,IncN,Plasmid,0
573.66427,qacEdelta1,573.66427_2,858,1205,IncN,Plasmid,0
573.66427,aadA16,573.66427_1,79,912,IncN,Plasmid,0
72407.2526,tet(A),72407.2526_2,672,1871,IncN,Plasmid,0
72407.2415,leuO,72407.2415_11,12126,13076,IncFIB(K),Plasmid,0
573.65993,Escherichia coli mdfA,573.65993_4,3173,4405,IncFIB(K),Plasmid,1
573.65993,APH(3'')-Ib,573.65993_6,3535,4338,IncFIB(K),Plasmid,1
573.65993,sul2,573.65993_7,4399,5214,IncFIB(K),Plasmid,1
573.65993,adeF,573.65993_2,1446,4556,IncFIB(K),Plasmid,1
573.66352,OXA-181,573.66352_3,4063,4860,IncX3,Plasmid,0
573.66352,AAC(6')-Ib10,573.66352_1,2,646,Col440I,Plasmid,0
72407.2797,OXA-1,72407.2797_2,580,1410,Col440II,Plasmid,0
72407.2797,AAC(6')-Ib10,72407.2797_3,1541,2185,Col440II,Plasmid,0
72407.2797,CTX-M-15,72407.2797_2,577,1452,Col440II,Plasmid,0
72407.2676,tet(A),72407.2676_2,672,1871,IncN,Plasmid,0
574.83,adeF,574.83_2,1157,4267,IncHI1B,Plasmid,0
574.83,sul1,574.83_1,2,859,IncHI1B,Plasmid,0
574.83,sul2,574.83_6,3807,4622,IncFII,Plasmid,0
574.83,APH(6)-Id,574.83_2,2619,3455,IncL/M(pMU407),Plasmid,0
574.83,tet(D),574.83_2,701,1885,IncHI1B,Plasmid,0
574.83,AAC(6')-IIc,574.83_2,638,1219,IncHI1B,Plasmid,0
574.83,catA1,574.83_1,155,814,IncHI1B,Plasmid,0
573.66376,rmtB,573.66376_2,646,1401,Col440II,Plasmid,0
72407.2814,CTX-M-2,72407.2814_8,6086,6961,ColRNAI,Plasmid,0
573.66501,KPC-2,573.66501_1,125,1006,IncFII(K),Plasmid,1
573.66501,Mrx,573.66501_2,972,2210,IncN,Plasmid,1
72407.245,rsmA,72407.245_1,474,659,IncX3,Plasmid,1
72407.245,Escherichia coli mdfA,72407.245_5,3976,5208,ColRNAI,Plasmid,1
72407.245,KPC-3,72407.245_12,10362,11243,FIA(pBK30683),Plasmid,1
72407.245,OXA-9,72407.245_5,3328,4152,IncFIB(K),Plasmid,1
72407.245,APH(6)-Id,72407.245_2,629,1465,IncX3,Plasmid,1
573.65987,APH(3'')-Ib,573.65987_6,4115,4918,IncFIB(K),Plasmid,0
573.65987,APH(6)-Id,573.65987_7,4918,5754,IncFIB(K),Plasmid,0
72407.2601,vanG,72407.2601_3,2331,3428,IncFIB(K),Plasmid,1
72407.2601,eptB,72407.2601_2,1765,3438,IncFIB(K),Plasmid,1
72407.2601,CTX-M-15,72407.2601_2,1706,2581,IncFII(K),Plasmid,1
72407.2601,dfrA14,72407.2601_3,1652,2125,IncFII(K),Plasmid,1
72407.2601,APH(3'')-Ib,72407.2601_2,803,1606,IncFII(K),Plasmid,1
573.66464,adeF,573.66464_2,1157,4267,IncN,Plasmid,1
573.66464,APH(6)-Id,573.66464_5,3503,4339,IncFII,Plasmid,1
573.66464,ErmB,573.66464_2,293,1030,IncFIA(HI1),Plasmid,1
573.66464,catA1,573.66464_2,224,883,IncFIA(HI1),Plasmid,1
573.66464,mphA,573.66464_1,69,974,IncFIA(HI1),Plasmid,1
573.66464,Mrx,573.66464_2,971,2209,IncFIA(HI1),Plasmid,1
573.66464,AAC(3)-IId,573.66464_2,701,1561,IncN,Plasmid,1
573.66464,arr-3,573.66464_2,685,1137,IncN,Plasmid,1
573.66464,dfrA27,573.66464_3,1270,1743,IncN,Plasmid,1
573.66464,sul1,573.66464_2,453,1292,IncN,Plasmid,1
573.66464,aadA5,573.66464_1,95,883,IncFIA(HI1),Plasmid,1
573.66464,dfrA17,573.66464_2,1014,1502,IncN,Plasmid,1
573.66464,CTX-M-27,573.66464_1,192,1067,IncFIA(HI1),Plasmid,1
573.66464,aadA16,573.66464_1,1,834,IncFIA(HI1),Plasmid,1
72407.2194,tet(A),72407.2194_3,2589,3788,IncFIB(K),Plasmid,1
72407.2194,TEM-1,72407.2194_6,3659,4519,IncFIB(K),Plasmid,1
72407.2194,OXA-1,72407.2194_2,777,1607,IncFII(K),Plasmid,1
