Genome_ID,Best_Hit_ARO,Contig,Start,Stop
573.66457,Shigella flexneri acrA,573.66457_191,213888,215081
573.66457,acrB,573.66457_192,215104,218250
573.66457,vanG,573.66457_313,338755,339852
573.66457,rsmA,573.66457_347,364814,364999
573.66457,Klebsiella pneumoniae KpnH,573.66457_355,372859,374397
573.66457,Klebsiella pneumoniae KpnG,573.66457_356,374413,375585
573.66457,emrR,573.66457_357,375711,376241
573.66457,oqxB,573.66457_403,420513,423665
573.66457,oqxA,573.66457_404,423689,424864
573.66457,FosA6,573.66457_25,22732,23151
573.66457,LptD,573.66457_180,183944,186292
573.66457,leuO,573.66457_210,224823,225773
573.66457,mdtB,573.66457_53,64402,67524
573.66457,mdtC,573.66457_54,67525,70602
573.66457,MdtQ,573.66457_101,122907,124346
573.66457,adeF,573.66457_2,1161,4271
573.66457,eptB,573.66457_88,90716,92389
573.66457,PmrF,573.66457_144,167222,168205
573.66457,ArnT,573.66457_147,171086,172741
573.66457,CRP,573.66457_247,282726,283358
573.66457,OmpA,573.66457_9,9047,10117
573.66457,msbA,573.66457_49,59489,61237
573.66457,Escherichia coli mdfA,573.66457_118,140623,141855
573.66457,acrD,573.66457_69,72754,75867
573.66457,QnrB1,573.66457_7,8166,8810
573.66457,dfrA14,573.66457_6,4603,5076
573.66457,sul2,573.66457_4,3239,4054
573.66457,APH(6)-Id,573.66457_6,4918,5754
573.66457,floR,573.66457_3,447,1661
573.66457,tet(A),573.66457_2,560,1759
573.66457,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66457_216,227481,227915
573.66457,baeR,573.66457_57,73491,74213
573.67372,mdtC,573.67372_44,49598,52675
573.67372,mdtB,573.67372_45,52676,55798
573.67372,MdtQ,573.67372_4,2675,4114
573.67372,acrD,573.67372_227,258228,261341
573.67372,leuO,573.67372_136,152113,153063
573.67372,LptD,573.67372_166,191594,193942
573.67372,fosA5,573.67372_314,347195,347614
573.67372,vanG,573.67372_40,38884,39981
573.67372,acrB,573.67372_162,160471,163617
573.67372,Shigella flexneri acrA,573.67372_163,163640,164833
573.67372,Escherichia coli mdfA,573.67372_81,89863,91095
573.67372,msbA,573.67372_150,170477,172225
573.67372,OmpA,573.67372_191,221585,222655
573.67372,Klebsiella pneumoniae KpnF,573.67372_30,28081,28410
573.67372,Klebsiella pneumoniae KpnE,573.67372_31,28397,28759
573.67372,Klebsiella pneumoniae OmpK37,573.67372_154,165523,166677
573.67372,emrR,573.67372_15,12861,13391
573.67372,Klebsiella pneumoniae KpnG,573.67372_16,13517,14689
573.67372,Klebsiella pneumoniae KpnH,573.67372_17,14705,16243
573.67372,rsmA,573.67372_25,24103,24288
573.67372,SHV-11,573.67372_13,11941,12801
573.67372,marA,573.67372_33,32904,33278
573.67372,ArnT,573.67372_19,16901,18556
573.67372,PmrF,573.67372_22,21437,22420
573.67372,eptB,573.67372_79,96911,98584
573.67372,CRP,573.67372_82,92698,93330
573.67372,oqxB,573.67372_31,31401,34553
573.67372,oqxA,573.67372_32,34577,35752
573.67372,QnrS1,573.67372_2,453,1109
573.67372,TEM-1,573.67372_20,12489,13349
573.67372,KPC-2,573.67372_5,7204,8085
573.67372,aadA3,573.67372_1,1,798
573.67372,qacEdelta1,573.67372_2,962,1309
573.67372,sul1,573.67372_3,1303,2142
573.67372,dfrA19,573.67372_6,4854,5423
573.67372,sul2,573.67372_6,3807,4622
573.67372,tet(D),573.67372_3,1642,2826
573.67372,MCR-9.1,573.67372_2,656,2275
573.67372,APH(3'')-Ib,573.67372_1,2,916
573.67372,APH(6)-Id,573.67372_2,922,1752
573.67372,catII from Escherichia coli K-12,573.67372_2,667,1308
573.67372,dfrA14,573.67372_1,2,490
573.67372,baeR,573.67372_41,45987,46709
573.67372,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.67372_34,33299,33733
72407.2351,Klebsiella pneumoniae KpnE,72407.2351_18,19492,19854
72407.2351,Klebsiella pneumoniae KpnF,72407.2351_19,19841,20170
72407.2351,SHV-1,72407.2351_60,60201,61061
72407.2351,marA,72407.2351_80,81164,81538
72407.2351,acrD,72407.2351_114,127608,130721
72407.2351,leuO,72407.2351_41,47365,48315
72407.2351,LptD,72407.2351_71,86846,89194
72407.2351,FosA6,72407.2351_209,229590,230009
72407.2351,adeF,72407.2351_2,1161,4271
72407.2351,ArnT,72407.2351_8,4998,6653
72407.2351,PmrF,72407.2351_11,9534,10517
72407.2351,eptB,72407.2351_68,85500,87173
72407.2351,vanG,72407.2351_71,76292,77389
72407.2351,oqxA,72407.2351_52,51869,53044
72407.2351,oqxB,72407.2351_53,53068,56220
72407.2351,emrR,72407.2351_99,100474,101004
72407.2351,Klebsiella pneumoniae KpnG,72407.2351_100,101130,102302
72407.2351,Klebsiella pneumoniae KpnH,72407.2351_101,102318,103856
72407.2351,rsmA,72407.2351_109,111715,111900
72407.2351,Klebsiella pneumoniae OmpK37,72407.2351_36,35896,37020
72407.2351,CRP,72407.2351_93,105440,106072
72407.2351,Shigella flexneri acrA,72407.2351_76,84863,86056
72407.2351,acrB,72407.2351_77,86079,89225
72407.2351,mdtB,72407.2351_18,23886,27008
72407.2351,mdtC,72407.2351_19,27009,30086
72407.2351,Escherichia coli mdfA,72407.2351_60,68252,69484
72407.2351,OmpA,72407.2351_8,7598,8668
72407.2351,msbA,72407.2351_48,58039,59787
72407.2351,QnrB1,72407.2351_43,38280,38924
72407.2351,MdtQ,72407.2351_10,10777,12216
72407.2351,sul2,72407.2351_2,423,1238
72407.2351,APH(3'')-Ib,72407.2351_3,1299,2102
72407.2351,APH(6)-Id,72407.2351_4,2102,2938
72407.2351,TEM-1,72407.2351_6,3659,4519
72407.2351,CTX-M-15,72407.2351_11,7341,8216
72407.2351,dfrA14,72407.2351_2,1652,2125
72407.2351,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2351_81,81559,81993
72407.2351,baeR,72407.2351_22,32975,33697
573.66018,SHV-202,573.66018_32,27862,28728
573.66018,marA,573.66018_52,48824,49198
573.66018,acrD,573.66018_94,105054,108167
573.66018,MdtQ,573.66018_318,362261,363700
573.66018,mdtC,573.66018_365,415888,418965
573.66018,mdtB,573.66018_366,418966,422088
573.66018,rsmA,573.66018_313,329432,329617
573.66018,Klebsiella pneumoniae KpnH,573.66018_321,337477,339015
573.66018,Klebsiella pneumoniae KpnG,573.66018_322,339031,340203
573.66018,emrR,573.66018_323,340329,340859
573.66018,oqxB,573.66018_365,380911,384063
573.66018,oqxA,573.66018_366,384087,385262
573.66018,CRP,573.66018_20,15182,15814
573.66018,ArnT,573.66018_119,125910,127565
573.66018,PmrF,573.66018_122,130446,131429
573.66018,eptB,573.66018_178,206099,207772
573.66018,fosA5,573.66018_12,13774,14193
573.66018,LptD,573.66018_163,168688,171036
573.66018,leuO,573.66018_194,209566,210516
573.66018,adeF,573.66018_2,1160,4270
573.66018,Klebsiella pneumoniae OmpK37,573.66018_45,49051,50175
573.66018,Klebsiella pneumoniae KpnE,573.66018_167,185601,185963
573.66018,Klebsiella pneumoniae KpnF,573.66018_168,185950,186279
573.66018,acrB,573.66018_62,61533,64679
573.66018,Shigella flexneri acrA,573.66018_63,64702,65895
573.66018,OmpA,573.66018_71,52924,53994
573.66018,msbA,573.66018_111,103365,105113
573.66018,vanG,573.66018_47,48183,49280
573.66018,Escherichia coli mdfA,573.66018_55,61098,62330
573.66018,QnrB4,573.66018_2,1158,1805
573.66018,DHA-1,573.66018_9,5926,7065
573.66018,sul1,573.66018_12,8642,9481
573.66018,qacJ,573.66018_14,11605,11850
573.66018,aadA2,573.66018_15,12014,12793
573.66018,dfrA12,573.66018_16,13213,13710
573.66018,TEM-1,573.66018_1,13,873
573.66018,AAC(3)-IId,573.66018_6,5845,6705
573.66018,sul2,573.66018_2,410,1225
573.66018,APH(3'')-Ib,573.66018_3,1286,2089
573.66018,APH(6)-Id,573.66018_4,2089,2925
573.66018,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66018_53,49219,49653
573.66018,baeR,573.66018_362,412277,412999
72407.2391,mdtB,72407.2391_168,192037,195159
72407.2391,mdtC,72407.2391_169,195160,198237
72407.2391,MdtQ,72407.2391_216,250544,251983
72407.2391,Klebsiella pneumoniae KpnF,72407.2391_12,11646,11975
72407.2391,Klebsiella pneumoniae KpnE,72407.2391_13,11962,12324
72407.2391,Klebsiella pneumoniae OmpK37,72407.2391_126,139654,140778
72407.2391,eptB,72407.2391_170,180313,181986
72407.2391,PmrF,72407.2391_227,256642,257625
72407.2391,ArnT,72407.2391_230,260506,262161
72407.2391,SHV-187,72407.2391_30,27852,28718
72407.2391,marA,72407.2391_50,48814,49188
72407.2391,leuO,72407.2391_41,47415,48365
72407.2391,LptD,72407.2391_71,86875,89223
72407.2391,FosA6,72407.2391_224,248299,248718
72407.2391,vanG,72407.2391_125,124515,125612
72407.2391,acrD,72407.2391_111,122644,125757
72407.2391,rsmA,72407.2391_66,69542,69727
72407.2391,Klebsiella pneumoniae KpnH,72407.2391_74,77587,79125
72407.2391,Klebsiella pneumoniae KpnG,72407.2391_75,79141,80313
72407.2391,emrR,72407.2391_76,80439,80969
72407.2391,oqxB,72407.2391_121,125240,128392
72407.2391,oqxA,72407.2391_122,128416,129591
72407.2391,OmpA,72407.2391_64,73750,74820
72407.2391,msbA,72407.2391_104,124192,125940
72407.2391,Escherichia coli mdfA,72407.2391_55,61087,62319
72407.2391,CRP,72407.2391_20,15167,15799
72407.2391,acrB,72407.2391_5,1955,5101
72407.2391,Shigella flexneri acrA,72407.2391_6,5124,6317
72407.2391,qacEdelta1,72407.2391_2,723,1070
72407.2391,dfrA1,72407.2391_3,1774,2247
72407.2391,tet(A),72407.2391_6,3480,4679
72407.2391,CTX-M-14,72407.2391_14,10616,11491
72407.2391,LAP-2,72407.2391_2,1437,2294
72407.2391,QnrS1,72407.2391_5,3891,4547
72407.2391,baeR,72407.2391_172,201126,201848
72407.2391,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2391_51,49209,49643
72407.2604,Shigella flexneri acrA,72407.2604_190,213889,215082
72407.2604,acrB,72407.2604_191,215105,218251
72407.2604,vanG,72407.2604_313,338755,339852
72407.2604,mdtB,72407.2604_53,64402,67524
72407.2604,mdtC,72407.2604_54,67525,70602
72407.2604,MdtQ,72407.2604_101,122907,124346
72407.2604,adeF,72407.2604_323,318696,321806
72407.2604,ArnT,72407.2604_19,16901,18556
72407.2604,PmrF,72407.2604_22,21437,22420
72407.2604,eptB,72407.2604_78,97253,98926
72407.2604,LptD,72407.2604_20,20755,23103
72407.2604,leuO,72407.2604_50,61634,62584
72407.2604,acrD,72407.2604_115,127438,130551
72407.2604,Klebsiella pneumoniae KpnF,72407.2604_13,11653,11982
72407.2604,Klebsiella pneumoniae KpnE,72407.2604_14,11969,12331
72407.2604,Klebsiella pneumoniae OmpK37,72407.2604_127,139032,140186
72407.2604,oqxA,72407.2604_39,37001,38176
72407.2604,oqxB,72407.2604_40,38200,41352
72407.2604,emrR,72407.2604_86,85624,86154
72407.2604,Klebsiella pneumoniae KpnG,72407.2604_87,86280,87452
72407.2604,Klebsiella pneumoniae KpnH,72407.2604_88,87468,89006
72407.2604,rsmA,72407.2604_96,96866,97051
72407.2604,Escherichia coli mdfA,72407.2604_88,98673,99905
72407.2604,FosA6,72407.2604_135,137058,137477
72407.2604,marA,72407.2604_94,88085,88459
72407.2604,SHV-28,72407.2604_114,108562,109422
72407.2604,CRP,72407.2604_82,93075,93707
72407.2604,msbA,72407.2604_15,17743,19491
72407.2604,OmpA,72407.2604_9,9033,10103
72407.2604,CTX-M-15,72407.2604_3,3222,4097
72407.2604,TEM-1,72407.2604_8,6919,7779
72407.2604,APH(6)-Id,72407.2604_10,8500,9336
72407.2604,APH(3'')-Ib,72407.2604_11,9336,10139
72407.2604,sul2,72407.2604_12,10200,11015
72407.2604,QnrB1,72407.2604_2,593,1237
72407.2604,dfrA14,72407.2604_3,1652,2125
72407.2604,tet(A),72407.2604_3,1685,2959
72407.2604,AAC(6')-Ib10,72407.2604_1,2,646
72407.2604,OXA-1,72407.2604_2,777,1607
72407.2604,baeR,72407.2604_57,73491,74213
72407.2604,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2604_93,87630,88064
72407.2414,acrD,72407.2414_110,120683,123796
72407.2414,MdtQ,72407.2414_333,377789,379228
72407.2414,mdtC,72407.2414_380,431532,434609
72407.2414,mdtB,72407.2414_381,434610,437732
72407.2414,CRP,72407.2414_20,15152,15784
72407.2414,ArnT,72407.2414_120,125392,127047
72407.2414,PmrF,72407.2414_123,129928,130911
72407.2414,eptB,72407.2414_180,205403,207076
72407.2414,leuO,72407.2414_135,152127,153077
72407.2414,LptD,72407.2414_165,191608,193956
72407.2414,fosA5,72407.2414_314,347210,347629
72407.2414,Shigella flexneri acrA,72407.2414_197,191872,193065
72407.2414,acrB,72407.2414_198,193088,196234
72407.2414,vanG,72407.2414_319,316726,317823
72407.2414,oqxA,72407.2414_67,61684,62859
72407.2414,oqxB,72407.2414_68,62883,66035
72407.2414,emrR,72407.2414_114,110292,110822
72407.2414,Klebsiella pneumoniae KpnG,72407.2414_115,110948,112120
72407.2414,Klebsiella pneumoniae KpnH,72407.2414_116,112136,113674
72407.2414,rsmA,72407.2414_124,121534,121719
72407.2414,marA,72407.2414_171,166258,166632
72407.2414,SHV-11,72407.2414_191,186735,187595
72407.2414,msbA,72407.2414_15,17767,19515
72407.2414,OmpA,72407.2414_55,68876,69946
72407.2414,Escherichia coli mdfA,72407.2414_55,61089,62321
72407.2414,Klebsiella pneumoniae KpnE,72407.2414_73,82123,82485
72407.2414,Klebsiella pneumoniae KpnF,72407.2414_74,82472,82801
72407.2414,Klebsiella pneumoniae OmpK37,72407.2414_49,55180,56334
72407.2414,sul1,72407.2414_2,627,1466
72407.2414,DHA-1,72407.2414_5,3043,4182
72407.2414,QnrB4,72407.2414_12,8303,8950
72407.2414,baeR,72407.2414_377,427921,428643
72407.2414,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2414_170,165803,166237
573.66228,OmpA,573.66228_136,136465,137535
573.66228,msbA,573.66228_176,186908,188656
573.66228,Escherichia coli mdfA,573.66228_245,268028,269260
573.66228,Shigella flexneri acrA,573.66228_673,750088,751281
573.66228,acrB,573.66228_674,751304,754450
573.66228,vanG,573.66228_796,874960,876057
573.66228,marA,573.66228_707,698691,699065
573.66228,CRP,573.66228_20,15152,15784
573.66228,ArnT,573.66228_120,125774,127429
573.66228,PmrF,573.66228_123,130310,131293
573.66228,eptB,573.66228_179,205950,207623
573.66228,oqxA,573.66228_33,30795,31970
573.66228,oqxB,573.66228_34,31994,35146
573.66228,emrR,573.66228_76,75205,75735
573.66228,Klebsiella pneumoniae KpnG,573.66228_77,75861,77033
573.66228,Klebsiella pneumoniae KpnH,573.66228_78,77049,78587
573.66228,rsmA,573.66228_86,86446,86631
573.66228,acrD,573.66228_108,120889,124002
573.66228,Klebsiella pneumoniae KpnF,573.66228_40,36629,36958
573.66228,Klebsiella pneumoniae KpnE,573.66228_41,36945,37307
573.66228,Klebsiella pneumoniae OmpK37,573.66228_165,176828,177952
573.66228,MdtQ,573.66228_77,97106,98545
573.66228,mdtC,573.66228_118,144126,147203
573.66228,mdtB,573.66228_119,147204,150326
573.66228,leuO,573.66228_136,151942,152892
573.66228,LptD,573.66228_166,191360,193708
573.66228,FosA6,573.66228_134,139908,140330
573.66228,tet(A),573.66228_3,1056,2255
573.66228,floR,573.66228_6,2855,4069
573.66228,BRP(MBL),573.66228_7,6331,6696
573.66228,NDM-4,573.66228_8,6700,7512
573.66228,dfrA12,573.66228_1,3,503
573.66228,aadA8b,573.66228_2,923,1702
573.66228,qacL,573.66228_3,1872,2204
573.66228,sul3,573.66228_5,3384,4175
573.66228,CTX-M-15,573.66228_3,3222,4097
573.66228,dfrA14,573.66228_6,4603,5091
573.66228,sul2,573.66228_4,3239,4054
573.66228,SHV-12,573.66228_3,1736,2596
573.66228,aadA,573.66228_2,136,924
573.66228,QnrS1,573.66228_3,1015,1671
573.66228,OXA-1,573.66228_2,580,1410
573.66228,AAC(6')-Ib10,573.66228_1,3,521
573.66228,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66228_706,698236,698670
573.66228,baeR,573.66228_115,140515,141237
573.66225,Klebsiella pneumoniae KpnE,573.66225_49,54434,54796
573.66225,Klebsiella pneumoniae KpnF,573.66225_50,54783,55112
573.66225,SHV-11,573.66225_91,95130,95990
573.66225,marA,573.66225_111,116093,116467
573.66225,oqxA,573.66225_15,9028,10203
573.66225,oqxB,573.66225_16,10227,13379
573.66225,emrR,573.66225_62,57649,58179
573.66225,Klebsiella pneumoniae KpnG,573.66225_63,58305,59477
573.66225,Klebsiella pneumoniae KpnH,573.66225_64,59493,61031
573.66225,rsmA,573.66225_72,68891,69076
573.66225,Escherichia coli mdfA,573.66225_5,3907,5139
573.66225,OmpA,573.66225_178,177419,178489
573.66225,msbA,573.66225_219,227861,229609
573.66225,Shigella flexneri acrA,573.66225_62,55623,56816
573.66225,acrB,573.66225_63,56839,59985
573.66225,vanG,573.66225_185,180509,181606
573.66225,FosA6,573.66225_13,13910,14329
573.66225,LptD,573.66225_166,171773,174121
573.66225,leuO,573.66225_196,212652,213602
573.66225,acrD,573.66225_201,225261,228374
573.66225,CRP,573.66225_20,15176,15808
573.66225,ArnT,573.66225_120,125554,127209
573.66225,PmrF,573.66225_123,130090,131073
573.66225,eptB,573.66225_2,2043,3716
573.66225,Klebsiella pneumoniae OmpK37,573.66225_64,72742,73896
573.66225,MdtQ,573.66225_18,21481,22920
573.66225,mdtC,573.66225_65,75107,78184
573.66225,mdtB,573.66225_66,78185,81307
573.66225,QnrB4,573.66225_7,4165,4812
573.66225,KPC-2,573.66225_4,4564,5445
573.66225,tet(C),573.66225_3,1449,2486
573.66225,QnrB6,573.66225_2,1233,1913
573.66225,dfrA27,573.66225_1,16,489
573.66225,aadA16,573.66225_2,670,1515
573.66225,qacEdelta1,573.66225_1,39,386
573.66225,sul1,573.66225_2,380,1219
573.66225,dfrA12,573.66225_1,416,916
573.66225,aadA2,573.66225_1,59,841
573.66225,catB3,573.66225_1,47,679
573.66225,AAC(6')-Ib10,573.66225_2,59,763
573.66225,arr-3,573.66225_1,118,606
573.66225,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66225_112,116488,116922
573.66225,baeR,573.66225_62,71496,72218
573.66508,acrD,573.66508_201,226791,229904
573.66508,msbA,573.66508_16,18461,20209
573.66508,Escherichia coli mdfA,573.66508_132,133853,135085
573.66508,FosA6,573.66508_13,13910,14329
573.66508,LptD,573.66508_167,171771,174119
573.66508,leuO,573.66508_197,212650,213600
573.66508,eptB,573.66508_2,2043,3716
573.66508,Shigella flexneri acrA,573.66508_3,811,2004
573.66508,acrB,573.66508_4,2027,5173
573.66508,vanG,573.66508_126,125696,126793
573.66508,OmpA,573.66508_178,177705,178775
573.66508,PmrF,573.66508_58,72212,73195
573.66508,ArnT,573.66508_61,76076,77731
573.66508,CRP,573.66508_162,187478,188110
573.66508,Klebsiella pneumoniae KpnF,573.66508_13,11646,11975
573.66508,Klebsiella pneumoniae KpnE,573.66508_14,11962,12324
573.66508,Klebsiella pneumoniae OmpK37,573.66508_125,139530,140684
573.66508,SHV-11,573.66508_29,26892,27752
573.66508,marA,573.66508_49,47855,48229
573.66508,MdtQ,573.66508_18,21521,22960
573.66508,mdtC,573.66508_59,68543,71620
573.66508,mdtB,573.66508_60,71621,74743
573.66508,oqxA,573.66508_33,30638,31813
573.66508,oqxB,573.66508_34,31837,34989
573.66508,emrR,573.66508_3,1206,1736
573.66508,Klebsiella pneumoniae KpnG,573.66508_4,1862,3034
573.66508,Klebsiella pneumoniae KpnH,573.66508_5,3050,4588
573.66508,rsmA,573.66508_13,12448,12633
573.66508,KPC-2,573.66508_1,139,1020
573.66508,TEM-1,573.66508_9,5863,6723
573.66508,mphA,573.66508_1,70,975
573.66508,Mrx,573.66508_2,972,2210
573.66508,tet(A),573.66508_3,3235,4434
573.66508,sul2,573.66508_6,3807,4622
573.66508,LAP-2,573.66508_2,1142,1999
573.66508,QnrS1,573.66508_5,3596,4252
573.66508,arr-2,573.66508_1,1,486
573.66508,cmlA5,573.66508_2,807,2066
573.66508,OXA-10,573.66508_3,2331,3131
573.66508,aadA,573.66508_4,3124,3939
573.66508,dfrA14,573.66508_5,4014,4487
573.66508,dfrA12,573.66508_1,3,503
573.66508,aadA2,573.66508_2,923,1702
573.66508,qacEdelta1,573.66508_3,1866,2213
573.66508,sul1,573.66508_4,2207,3046
573.66508,TEM-256,573.66508_4,2198,3058
573.66508,AAC(3)-IIe,573.66508_4,1697,2557
573.66508,AAC(6')-Ib10,573.66508_1,2,646
573.66508,OXA-1,573.66508_2,777,1607
573.66508,CTX-M-15,573.66508_1,49,924
573.66508,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,573.66508_50,48250,48684
573.66508,baeR,573.66508_56,64932,65654
72407.2655,mdtB,72407.2655_58,71460,74582
72407.2655,mdtC,72407.2655_59,74583,77660
72407.2655,MdtQ,72407.2655_101,123052,124491
72407.2655,acrD,72407.2655_329,382511,385624
72407.2655,vanG,72407.2655_126,138053,139150
72407.2655,acrB,72407.2655_249,259692,262838
72407.2655,Shigella flexneri acrA,72407.2655_250,262861,264054
72407.2655,Escherichia coli mdfA,72407.2655_55,61081,62313
72407.2655,LptD,72407.2655_76,80393,82741
72407.2655,leuO,72407.2655_106,121273,122223
72407.2655,adeF,72407.2655_195,194149,197259
72407.2655,OmpA,72407.2655_147,152739,153809
72407.2655,eptB,72407.2655_7,8816,10489
72407.2655,Klebsiella pneumoniae KpnF,72407.2655_13,11646,11975
72407.2655,Klebsiella pneumoniae KpnE,72407.2655_14,11962,12324
72407.2655,Klebsiella pneumoniae OmpK37,72407.2655_127,139537,140661
72407.2655,CRP,72407.2655_86,99558,100190
72407.2655,FosA6,72407.2655_13,15397,15816
72407.2655,oqxA,72407.2655_73,55111,56286
72407.2655,oqxB,72407.2655_74,56310,59462
72407.2655,rsmA,72407.2655_68,68526,68711
72407.2655,PmrF,72407.2655_41,52126,53109
72407.2655,ArnT,72407.2655_44,55990,57645
72407.2655,msbA,72407.2655_16,18469,20217
72407.2655,SHV-28,72407.2655_8,7290,8150
72407.2655,marA,72407.2655_30,28246,28620
72407.2655,TEM-1,72407.2655_3,996,1856
72407.2655,APH(6)-Id,72407.2655_5,2577,3413
72407.2655,sul2,72407.2655_7,4277,5092
72407.2655,floR,72407.2655_9,5574,6788
72407.2655,tet(D),72407.2655_2,701,1885
72407.2655,armA,72407.2655_3,1309,2151
72407.2655,AAC(6')-Ib10,72407.2655_1,107,706
72407.2655,arr-3,72407.2655_2,803,1255
72407.2655,dfrA27,72407.2655_3,1388,1861
72407.2655,aadA16,72407.2655_4,2042,2887
72407.2655,AAC(3)-IId,72407.2655_2,855,1715
72407.2655,CTX-M-27,72407.2655_1,110,985
72407.2655,aadA5,72407.2655_1,57,845
72407.2655,dfrA1,72407.2655_3,1362,1835
72407.2655,QnrB6,72407.2655_2,1233,1913
72407.2655,catII from Escherichia coli K-12,72407.2655_2,667,1308
72407.2655,sul1,72407.2655_1,25,864
72407.2655,qacEdelta1,72407.2655_2,858,1205
72407.2655,baeR,72407.2655_62,80549,81271
72407.2655,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,72407.2655_31,28641,29075
72407.2387,marA,72407.2387_370,362580,362954
72407.2387,SHV-1,72407.2387_391,383056,383916
72407.2387,leuO,72407.2387_136,152170,153120
72407.2387,LptD,72407.2387_166,191651,193999
72407.2387,FosA6,72407.2387_314,346890,347309
72407.2387,MdtQ,72407.2387_176,206625,208064
72407.2387,mdtC,72407.2387_223,260720,263797
72407.2387,mdtB,72407.2387_224,263798,266920
72407.2387,eptB,72407.2387_19,18229,19902
72407.2387,PmrF,72407.2387_75,94576,95559
72407.2387,ArnT,72407.2387_78,98440,100095
72407.2387,CRP,72407.2387_178,210680,211312
72407.2387,acrD,72407.2387_49,48441,51554
72407.2387,rsmA,72407.2387_69,71213,71398
72407.2387,Klebsiella pneumoniae KpnH,72407.2387_77,79251,80789
72407.2387,Klebsiella pneumoniae KpnG,72407.2387_78,80805,81977
72407.2387,emrR,72407.2387_79,82103,82633
72407.2387,oqxB,72407.2387_126,126906,130058
72407.2387,oqxA,72407.2387_127,130082,131257
72407.2387,msbA,72407.2387_16,17742,19490
72407.2387,OmpA,72407.2387_57,68863,69933
72407.2387,Klebsiella pneumoniae OmpK37,72407.2387_102,111053,112177
72407.2387,Escherichia coli mdfA,72407.2387_88,99050,100282
72407.2387,vanG,72407.2387_52,51176,52273
72407.2387,acrB,72407.2387_4,1894,5040
72407.2387,Shigella flexneri acrA,72407.2387_5,5063,6256
72407.2387,TEM-1,72407.2387_3,1118,1978
72407.2387,Klebsiella pneumoniae KpnF,72407.2387_12,11646,11975
72407.2387,Klebsiella pneumoniae KpnE,72407.2387_13,11962,12324
72407.2387,tet(A),72407.2387_4,1344,2543
72407.2387,CTX-M-15,72407.2387_9,9085,9960
72407.2387,sul2,72407.2387_3,1863,2678
72407.2387,APH(6)-Id,72407.2387_5,3542,4378
72407.2387,QnrB6,72407.2387_2,157,837
